folder,N,T,batch_size,dataset_dir,dropout,epochs,imbalance,knn,layers,lr,m,max_queries,nodes,timestamp,type,weight_decay,Average AF,Recall@5,QPS,tApproximateAverage,tTrueAverage
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:52:02,sift,0.001,1.000000,1.000000,44.485464,0.022479,0.010091
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:23:02,sift,0.001,1.000000,0.586000,84.392978,0.011849,0.009736
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:35:06,sift,0.001,1.000000,0.804000,50.987820,0.019613,0.014074
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 18:14:41,sift,0.001,1.000000,1.000000,33.469243,0.029878,0.012826
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 17:16:43,sift,0.001,1.000000,1.000000,35.642365,0.028056,0.012227
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 17:45:18,sift,0.001,1.000000,1.000000,34.671773,0.028842,0.013613
