folder,N,T,batch_size,dataset_dir,dropout,epochs,imbalance,knn,layers,lr,m,max_queries,nodes,timestamp,type,weight_decay,Average AF,Recall@5,QPS,tApproximateAverage,tTrueAverage
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 19:07:22,sift,0.001,1.000000,1.000000,35.961237,0.027808,0.010021
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:34:12,sift,0.001,1.000000,0.530000,79.945944,0.012508,0.010361
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:51:35,sift,0.001,1.000000,0.702000,59.934897,0.016685,0.012350
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 18:16:14,sift,0.001,1.000000,1.000000,35.288195,0.028338,0.013292
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 17:16:56,sift,0.001,1.000000,1.000000,32.969495,0.030331,0.012987
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 17:45:50,sift,0.001,1.000000,1.000000,37.142074,0.026924,0.012846
