folder,N,T,batch_size,dataset_dir,dropout,epochs,imbalance,knn,layers,lr,m,max_queries,nodes,timestamp,type,weight_decay,Average AF,Recall@5,QPS,tApproximateAverage,tTrueAverage
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 19:06:13,sift,0.001,1.000000,1.000000,38.311843,0.026102,0.012481
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:33:50,sift,0.001,1.000000,0.490000,55.058042,0.018163,0.013858
knn25_m100_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,100,1000,512,2025-12-07 18:50:52,sift,0.001,1.000000,0.668000,41.411184,0.024148,0.016766
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T100,5,100,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 18:15:59,sift,0.001,1.000000,1.000000,33.977107,0.029432,0.013787
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T50,5,50,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 17:17:12,sift,0.001,1.000000,1.000000,33.822010,0.029567,0.013240
knn25_m50_ep50_L4_N512_imb0.03_lr0.01_wd0.001_dr0.5_batch256_T75,5,75,256,../datasets/SIFT/siftsmall,0.5,50,0.03,25,4,0.01,50,1000,512,2025-12-07 17:45:50,sift,0.001,1.000000,1.000000,46.451013,0.021528,0.012895
